Festival Name,Location,Dates,Lineup,Source URL
Rock im Park / Rock am Ring,"Nürnberg & Nürburg, Germany",May 7–9 2026,Bring Me The Horizon; Evanescence; Limp Bizkit; Linkin Park; Papa Roach; Architects; Babymental; Trivium; Don Broco; Magnolia Park; The Plot in You; We Came As Romans,https://www.rock-am-ring.com/en
Download Festival,"Castle Donington, UK",June 12–14 2026,Evanescence; As It Is; Babymetal; Bad Omens; Black Veil Brides; Guns N' Roses; Ice Nine Kills; LetLive.; Limp Bizkit; Linkin Park; Magnolia Park; Rain City Drive; Scene Queen; Set it Off; Sleep Theory; Story of the Year; We Came as Romans,https://downloadfestival.co.uk/
Graspop Metal Meeting 2026,, Jun 18 2026 – Jun 21 2026,,https://www.graspop.be
Coachella,"Indio, CA, US", Apr 10 2026 – Apr 19 2026,Hot Mulligan; Turnstile,https://www.coachella.com
Tuska Festival 2026,, Jun 26 2026 – Jun 28 2026,,https://tuska.fi
Provinssi 2026,, Jun 25 2026 – Jun 27 2026,,https://provinssi.fi
Welcome To Rockville,"Daytona Beach, FL, US", May 7 2026 – May 10 2026,My Chemical Romance; Bring Me The Horizon; Evanescence; Bad Omens; Pierce The Veil; All Time Low; State Champs; The Wonder Years; Mayday Parade; Story of the Year; We The Kings,https://welcometorockville.com
Emo’s Not Dead Cruise,"Miami, FL, US", Jan 22 2026 – Jan 26 2026,Hot Mulligan; State Champs; Story of the Year; Underoath; Knuckle Puck; We The Kings; Senses Fail; Anberlin,https://emosnotdeadcruise.com
Hellfest 2026,, Jun 18 2026 – Jun 21 2026,,https://hellfest.fr
Treefort Music Fest,, Mar 25 2026 – Mar 29 2026,,https://treefortmusicfest.com
Excellency Music Festival,, Apr 4 2026,,https://excellencymusicfestival.com
An Emo Extravaganza 2026,, Feb 22 2026 – Mar 1 2026,Anberlin; Cartel; Hot Chelle Rae; Broadside; This Wild Life,https://www.destroyalllines.com/tours/an-emo-extravaganza
Sonic Temple Festival,"Columbus, OH, US", May 14 2026 – May 17 2026,My Chemical Romance; Bring Me The Horizon; Evanescence; Pierce The Veil; Bad Omens; All Time Low; State Champs; The Wonder Years,https://sonictemplefestival.com
Summer Punch Festival 2026,, Jun 18 2026 – Jun 19 2026,,https://www.summerpunchfest.com
Broken Summer 2026,, Jun 24 2026,,https://brokensummer.se
Bonnaroo Music & Arts Festival,"Manchester, TN, US", Jun 11 2026 – Jun 14 2026,,https://www.bonnaroo.com
Slam Dunk Festival South,"Hatfield, UK", May 23 2026,State Champs; Cartel; Broadside; The Home Team,https://www.slamdunkfestival.com
Slam Dunk Festival North,"Leeds, UK", May 24 2026,,https://www.slamdunkfestival.com
"Warped Tour - Washington, DC","Washington, DC",Jun 13 2026 – Jun 14 2026,,https://www.vanswarpedtour.com
"Warped Tour - Long Beach, California","Long Beach, California",Jul 25 2026 – Jul 26 2026,,https://www.vanswarpedtour.com
"Warped Tour - Montreal, Canada","Montreal, Canada",Aug 21 2026 – Aug 22 2026,,https://www.vanswarpedtour.com
"Warped Tour - Mexico City, Mexico","Mexico City, Mexico",Sep 12 2026 – Sep 13 2026,,https://www.vanswarpedtour.com
"Warped Tour - Orlando, FL","Orlando, FL",Nov 14 2026 – Nov 15 2026,,https://www.vanswarpedtour.com

